path,file_type,size_bytes,mtime_iso,git_status,tracked
docs/GLOSSARY.md,.md,3853,2026-08-14T10:19:42.133261,,untracked
docs/GO_LIVE_SHUTDOWN_RUNBOOK.md,.md,5185,2026-08-07T15:29:36.376843,,untracked
docs/HAZARD_TAXONOMY.md,.md,1262,2026-08-02T11:31:09.520197,,untracked
docs/HEADWAY_SECURITY_RESOLUTION_SUMMARY.md,.md,330,2026-08-23T06:44:29.122949,,untracked
docs/INSTALLATION.md,.md,5842,2026-08-05T17:10:40.354602,,untracked
docs/KNOWN_LIMITATIONS.md,.md,4717,2026-08-17T07:26:49.178447,,untracked
docs/Master Logsheet-2024.xlsx,.xlsx,875068,2026-06-30T20:21:40.308289,,untracked
docs/Master Logsheet-2025.xlsx,.xlsx,892143,2026-06-30T20:24:39.930234,,untracked
docs/Master Logsheet-2026.xlsx,.xlsx,854672,2026-06-07T12:21:27.317840,,untracked
docs/ONBOARDING_CREDENTIALS_20_AIRLINES.md,.md,2815,2026-08-07T15:29:44.964800,,untracked
docs/OPERATIONS.md,.md,11186,2026-08-19T06:14:25.012298,,untracked
docs/PROJECT_STATUS_REPORT.md,.md,6196,2026-08-22T06:17:29.222148,,untracked
docs/PROJECT_STATUS_REPORT_2026-08-07.md,.md,19078,2026-08-13T08:04:29.011549,,untracked
docs/PROJECT_STATUS_REPORT_2026-08-08.md,.md,20970,2026-08-13T08:04:21.539168,,untracked
docs/PROJECT_STATUS_REPORT_2026-08-10.md,.md,17816,2026-08-13T08:04:21.982809,,untracked
docs/PROJECT_STATUS_REPORT_2026-08-11.md,.md,23707,2026-08-13T08:04:22.431195,,untracked
docs/PROJECT_STATUS_REPORT_2026-08-12.md,.md,8447,2026-08-12T21:37:44.714066,,untracked
docs/PROJECT_STATUS_REPORT_2026-08-14.md,.md,13188,2026-08-14T11:05:18.100988,,untracked
docs/PROJECT_STATUS_REPORT_2026-08-17.md,.md,13285,2026-08-17T13:12:28.218811,,untracked
docs/PROJECT_STATUS_REPORT_2026-08-18.md,.md,13622,2026-08-18T19:11:21.692506,,untracked
docs/PROJECT_STATUS_REPORT_2026-08-19.md,.md,6485,2026-08-19T06:14:25.013300,,untracked
docs/PROJECT_STATUS_REPORT_2026-08-24.md,.md,7819,2026-08-24T06:43:12.698193,,untracked
docs/PROSPECT_DEMO_GUIDE.md,.md,7020,2026-08-21T21:10:26.524512,,untracked
docs/SECURITY.md,.md,7440,2026-08-02T11:28:38.605723,,untracked
docs/SECURITY_AI_GUARDRAILS.md,.md,4470,2026-08-22T12:37:57.257171,,untracked
docs/SECURITY_AUDIT_REPORT.md,.md,7385,2026-08-23T06:41:59.633743,,untracked
docs/tenant_details.txt,.txt,12705,2026-08-21T09:29:09.139115,,untracked
docs/TENANT_METHODOLOGY.md,.md,12797,2026-08-12T05:18:48.655470,,untracked
docs/UAT_Checklist.txt,.txt,12655,2026-08-23T07:13:49.135892,,untracked
docs/USER_FLOW.md,.md,24991,2026-08-10T18:40:43.069237,,untracked
find_footer.py,.py,1233,2026-08-23T13:55:52.976159,,tracked
firebase-debug.log,.log,13375,2026-08-24T14:37:22.244029,,tracked
firebase.json,.json,3849,2026-08-22T07:28:39.606285,,tracked
firestore.indexes.json,.json,2920,2026-08-20T15:35:59.939633,,tracked
firestore.rules,.rules,207,2026-07-26T21:16:47.020531,,tracked
firestore/firestore.rules,.rules,15033,2026-08-22T12:06:05.226723,,untracked
fix_button.py,.py,1162,2026-08-23T14:04:41.097826,,tracked
fix_cache.py,.py,450,2026-08-22T20:28:54.788496,,tracked
fix_close_button.py,.py,1711,2026-08-23T13:19:14.990230,,tracked
fix_css.py,.py,1169,2026-08-22T20:41:37.690089,,tracked
fix_cursor.py,.py,667,2026-08-23T13:38:59.200764,,tracked
fix_hero_button.py,.py,1231,2026-08-23T14:06:43.835967,,tracked
fix_modal.js,.js,2599,2026-08-23T11:00:38.822492,,tracked
fix_modal_responsive.py,.py,1106,2026-08-23T11:03:28.720923,,tracked
fix_responsive.py,.py,1525,2026-08-23T11:04:00.680232,,tracked
frontend-tests/ae_personalization_smoke.js,.js,4495,2026-08-22T05:23:13.104630,,untracked
frontend-tests/check-inline-scripts.js,.js,1727,2026-08-19T10:35:23.261869,,untracked
frontend-tests/chunk10_survey_contract.mjs,.mjs,1269,2026-08-21T21:49:44.496171,,untracked
frontend-tests/chunk12_registry_verify.js,.js,5439,2026-08-21T21:56:10.543791,,untracked
frontend-tests/chunk13_login_routing_verify.js,.js,4684,2026-08-22T05:12:31.768643,,untracked
frontend-tests/chunk8_matrix.js,.js,2835,2026-08-21T21:08:52.967194,,untracked
frontend-tests/dashboard.test.js,.js,8191,2026-08-10T18:40:43.073239,,untracked
frontend-tests/firebase-appcheck-verify.js,.js,3858,2026-08-19T08:03:40.049646,,untracked
frontend-tests/input-guard.test.js,.js,6814,2026-08-19T12:10:34.713980,,untracked
frontend-tests/tenant-context.test.js,.js,16349,2026-08-18T19:11:21.694504,,untracked
frontend-tests/test_firestore_rules.js,.js,3255,2026-08-22T13:54:38.129979,,untracked
load-tests/artillery/caan-dashboard.yml,.yml,1126,2026-08-10T18:27:36.118629,,untracked
load-tests/artillery/dashboard-view.yml,.yml,1029,2026-08-10T20:05:54.358270,,untracked
load-tests/artillery/report-submission.yml,.yml,1510,2026-08-10T20:06:19.892156,,untracked
load-tests/get-token.mjs,.mjs,1222,2026-08-10T20:05:24.585015,,untracked
load-tests/k6/caan-dashboard.js,.js,1450,2026-08-10T18:27:36.120627,,untracked
load-tests/k6/common.js,.js,755,2026-08-07T05:01:19.679095,,untracked
load-tests/k6/dashboard-view.js,.js,1440,2026-08-10T18:27:36.121625,,untracked
load-tests/k6/report-submission.js,.js,2223,2026-08-07T05:01:29.838089,,untracked
load-tests/README.md,.md,4876,2026-08-10T20:05:01.466517,,untracked
login.html,.html,858,2026-08-22T20:29:14.970268,,tracked
login_orig.html,.html,25135,2026-08-24T09:05:40.026858,,tracked
logs/aviasafe.json,.json,31786,2026-08-12T21:33:45.531821,,untracked
manual_verification.md,.md,27983,2026-08-13T08:33:39.937441,,tracked
opencode_design_system_plan.md,.md,29693,2026-08-18T14:26:26.567552,,tracked
package-lock.json,.json,132269,2026-07-27T17:46:49.625511,,tracked
package.json,.json,1001,2026-08-06T15:57:22.336653,,tracked
public/admin/admin-tenants.html,.html,11231,2026-08-19T13:29:12.164861,,untracked
public/admin/app.js,.js,12881,2026-08-06T13:54:40.236791,,untracked
public/admin/index.html,.html,23335,2026-08-19T09:00:43.113855,,untracked
public/admin/login.html,.html,5500,2026-08-19T09:00:43.115964,,untracked
public/admin/production-setup.html,.html,36361,2026-08-19T09:00:43.116984,,untracked
public/admin/tenant-credentials.html,.html,11092,2026-08-19T09:00:43.116984,,untracked
public/administration.html,.html,29191,2026-08-20T15:35:59.940635,,untracked
public/audits/psoe.html,.html,19043,2026-08-20T15:46:33.708730,,untracked
public/caan-state-risk.html,.html,29540,2026-08-19T09:00:43.119269,,untracked
public/caan.html,.html,30018,2026-08-24T09:54:50.030901,,untracked
public/can_cap/can_detail.html,.html,23599,2026-08-21T11:15:33.372881,,untracked
public/can_cap/cans.html,.html,11407,2026-08-23T17:32:48.713460,,untracked
public/can_cap/cap_review.html,.html,34445,2026-08-21T11:14:29.223179,,untracked
public/can_cap/cap_submit.html,.html,25232,2026-08-21T12:08:25.871871,,untracked
public/can_cap/caps.html,.html,11558,2026-08-23T17:32:51.783035,,untracked
public/can_cap/issue.html,.html,16417,2026-08-20T15:46:55.992059,,untracked
public/css/admin-credentials.css,.css,4284,2026-08-18T19:11:21.711804,,untracked
public/css/admin.css,.css,6482,2026-08-18T19:11:21.713896,,untracked
public/css/can-cap-print.css,.css,14337,2026-08-18T19:11:21.713896,,untracked
public/css/contact.css,.css,3204,2026-08-07T19:35:56.702342,,untracked
public/css/copilot-widget.css,.css,8878,2026-08-20T15:35:59.943019,,untracked
public/css/help-drawer.css,.css,5308,2026-08-20T15:35:59.944018,,untracked
public/css/main.css,.css,14934,2026-08-19T11:37:57.619840,,untracked
public/css/shell.css,.css,7133,2026-08-19T11:37:57.619840,,untracked
public/css/srm.css,.css,14461,2026-08-21T10:35:47.992301,,untracked
public/css/tenant-overrides.css,.css,2529,2026-07-26T14:11:03.731440,,untracked
public/css/theme.css,.css,6727,2026-08-19T12:09:24.355674,,untracked
public/css/variables.css,.css,4227,2026-08-19T09:00:43.127276,,untracked
public/dashboard/ae-dashboard.html,.html,92374,2026-08-24T09:55:35.617688,,untracked
public/dashboard/caan-sms-maturity.html,.html,32240,2026-08-24T09:56:16.908970,,untracked
public/dashboard/index.html,.html,37663,2026-08-20T15:35:59.945011,,untracked
public/dashboard/master-register.html,.html,18652,2026-08-23T19:17:46.710167,,untracked
public/dashboard/responsible-manager.html,.html,16157,2026-08-23T19:17:21.040736,,untracked
public/data/help/can_cap.json,.json,3218,2026-08-20T15:35:59.947012,,untracked
